City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
245,tura,25.5198,90.2201,300.48,63,7,1.55,IN,1697361862
246,enewetak,11.3474,162.3373,301.76,77,29,5.38,MH,1697361678
247,yanchep,-31.55,115.6833,307.05,34,1,5.13,AU,1697361864
248,euclid,41.5931,-81.5268,285.46,82,100,6.17,US,1697361711
249,san antonio de pale,-1.4014,5.6325,299.11,83,100,6.13,GQ,1697361866
250,gadzhiyevo,69.2551,33.3362,274.99,99,100,5.15,RU,1697361868
251,mirpur sakro,24.5474,67.6277,305.31,49,11,8.02,PK,1697361869
252,clear lake,43.138,-93.3794,280.35,84,100,5.14,US,1697361870
253,nouadhibou,20.931,-17.0347,300.14,50,33,6.17,MR,1697361871
254,stanley,54.868,-1.6985,279.7,74,0,4.12,GB,1697361872
255,jayapura,-2.5333,140.7,301.81,84,63,1.97,ID,1697361873
256,moyynkum,44.2914,72.9469,287.14,25,8,2.92,KZ,1697361624
257,champerico,14.3,-91.9167,298.88,90,99,2.8,GT,1697361875
258,fairfield,41.2668,-73.3162,283.82,83,100,5.14,US,1697361876
259,mikomeseng,2.1361,10.6132,295.8,96,100,0.78,GQ,1697361877
260,uturoa,-16.7333,-151.4333,298.96,74,8,4.66,PF,1697361879
261,long beach,33.767,-118.1892,295.61,56,0,1.54,US,1697361608
262,zhangye,38.9342,100.4517,294.12,10,0,2.96,CN,1697361881
263,santa isabel,-23.3156,-46.2214,292.02,97,100,1.1,BR,1697361882
264,barcelos,41.5388,-8.6151,292.51,88,100,1.45,PT,1697361883
265,quellon,-43.1167,-73.6167,277.64,89,30,2.16,CL,1697361884
266,varna,43.2167,27.9167,298.31,56,0,2.06,BG,1697361885
267,naze,28.3667,129.4833,294.66,58,23,6.62,JP,1697361886
268,kongsvinger,60.1905,11.9977,281.19,55,84,2.23,NO,1697361887
269,aasiaat,68.7098,-52.8699,269.83,79,100,2.95,GL,1697361888
270,olinda,-8.0089,-34.8553,299.0,73,20,5.14,BR,1697361890
271,marshall,34.3834,-86.3333,287.32,87,75,2.57,US,1697361891
272,olonkinbyen,70.9221,-8.7187,271.84,87,100,8.09,SJ,1697361892
273,jessen,51.7833,12.95,283.27,71,75,6.69,DE,1697361893
274,necochea,-38.5473,-58.7368,284.39,68,100,7.3,AR,1697361894
275,galle,6.0367,80.217,300.0,78,64,5.26,LK,1697361895
276,balsas,-7.5325,-46.0356,298.56,61,5,1.85,BR,1697361896
277,sechura,-5.5569,-80.8222,292.73,84,63,4.75,PE,1697361897
278,rikaze,29.25,88.8833,289.37,10,0,3.16,CN,1697361898
279,pregradnaya,43.9508,41.1994,293.62,23,0,1.54,RU,1697361899
280,bo phloi,14.3236,99.5161,303.95,68,80,2.11,TH,1697361901
281,tarawa,1.419,172.984,301.2,78,75,2.06,KI,1697361902
282,la'ie,21.6477,-157.9253,298.13,79,76,2.24,US,1697361903
283,benjamin hill,30.1667,-111.1,294.07,41,0,2.53,MX,1697361904
284,gaffney,35.0718,-81.6498,287.64,63,5,2.53,US,1697361905
285,dien bien phu,21.3833,103.0167,300.16,67,51,1.25,VN,1697361906
286,idaho falls,43.4666,-112.0341,278.36,87,0,2.57,US,1697361907
287,tsiombe,-25.3,45.4833,299.2,59,92,5.67,MG,1697361908
288,hamilton,39.1834,-84.5333,284.2,85,100,4.63,US,1697361630
289,kansk,56.2017,95.7175,282.21,53,100,4.16,RU,1697361911
290,branik,50.036,14.4124,284.43,62,20,5.66,CZ,1697361912
291,geraldton,-28.7667,114.6,305.38,18,0,7.72,AU,1697361913
292,liuboml,51.226,24.0373,285.11,53,100,6.11,UA,1697361914
293,tongouson,5.0214,120.1328,301.96,71,6,2.08,PH,1697361916
294,bilibino,68.0546,166.4372,265.9,97,98,0.7,RU,1697361918
295,ouallam,14.3188,2.0866,307.93,19,14,5.42,NE,1697361920
296,mount isa,-20.7333,139.5,299.02,19,0,0.51,AU,1697361921
297,faya-largeau,17.9257,19.1043,307.09,17,0,8.23,TD,1697361922
298,san ignacio rio muerto,27.4167,-110.2333,299.98,63,0,3.27,MX,1697361924
299,callao,-12.0667,-77.15,292.44,82,100,2.57,PE,1697361926
300,al jawf,29.5,38.75,299.16,36,0,3.76,SA,1697361927
301,chitungwiza,-18.0127,31.0756,301.18,25,86,5.04,ZW,1697361928
302,tomatlan,19.9333,-105.25,298.03,97,82,1.37,MX,1697361929
303,kapuskasing,49.4169,-82.4331,276.2,100,100,5.14,CA,1697361930
304,kolonia,50.9333,6.95,283.13,84,75,4.12,DE,1697361851
305,borazjan,29.2666,51.2159,311.35,16,0,4.54,IR,1697361932
306,axim,4.8699,-2.2405,300.4,81,79,3.05,GH,1697361934
307,namtsy,62.7161,129.6658,269.28,83,94,1.59,RU,1697361935
308,makhambet,47.6667,51.5833,291.59,43,7,5.55,KZ,1697361936
309,kargil,34.5667,76.1,281.74,30,86,3.32,IN,1697361937
310,nagqu,31.5,92.0,279.12,37,94,4.97,CN,1697361938
311,tshikapa,-6.4167,20.8,302.0,57,100,2.23,CD,1697361939
312,kingscliff,-28.2667,153.5667,296.33,88,0,5.14,AU,1697361940
313,wafangdian,39.6183,122.0081,286.83,28,0,4.64,CN,1697361941
314,kittila,67.6647,24.8936,274.05,100,100,6.69,FI,1697361942
315,buala,-8.145,159.5921,299.88,84,80,1.74,SB,1697361943
316,yuzhno-kurilsk,44.0306,145.8556,287.25,69,100,3.59,RU,1697361945
317,mersa matruh,31.3525,27.2453,297.8,56,0,6.33,EG,1697361946
318,samana,19.2056,-69.3369,298.3,90,84,1.87,DO,1697361947
319,sao miguel do araguaia,-13.275,-50.1628,300.56,54,94,1.33,BR,1697361948
